epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,72.0841,0.65613,0.52054,1.23455,0.99689,1,0.995,0.83229,0.73915,0.40232,1.47958,0.0012278,0.0012278,0.0012278
119,72.6541,0.65541,0.55784,1.28268,0.99696,1,0.995,0.83397,0.71399,0.40088,1.37434,0.0012212,0.0012212,0.0012212
120,73.2198,0.56659,0.53609,1.35131,0.99696,1,0.995,0.83397,0.71399,0.40088,1.37434,0.0012146,0.0012146,0.0012146
121,73.87,0.57976,0.51648,1.23786,0.99688,1,0.995,0.85741,0.63288,0.38728,1.21932,0.001208,0.001208,0.001208
122,74.4157,0.55668,0.4835,1.271,0.99688,1,0.995,0.85741,0.63288,0.38728,1.21932,0.0012014,0.0012014,0.0012014
123,75.0087,0.62739,0.53357,1.37043,0.9972,1,0.995,0.8746,0.57962,0.37492,1.17078,0.0011948,0.0011948,0.0011948
124,75.5506,0.52414,0.46437,1.26844,0.9972,1,0.995,0.8746,0.57962,0.37492,1.17078,0.0011882,0.0011882,0.0011882
125,76.1111,0.50179,0.49769,1.19078,0.99749,1,0.995,0.8503,0.59815,0.37111,1.19696,0.0011816,0.0011816,0.0011816
126,76.6362,0.55421,0.53313,1.23096,0.99749,1,0.995,0.8503,0.59815,0.37111,1.19696,0.001175,0.001175,0.001175
127,77.2018,0.57522,0.51618,1.32119,0.99753,1,0.995,0.8458,0.63885,0.37308,1.28848,0.0011684,0.0011684,0.0011684
128,77.7521,0.58199,0.53908,1.25044,0.99753,1,0.995,0.8458,0.63885,0.37308,1.28848,0.0011618,0.0011618,0.0011618
129,78.3123,0.61018,0.52059,1.1952,0.99748,1,0.995,0.84953,0.64992,0.38534,1.3841,0.0011552,0.0011552,0.0011552
130,78.8596,0.61716,0.60407,1.34848,0.99748,1,0.995,0.84953,0.64992,0.38534,1.3841,0.0011486,0.0011486,0.0011486
131,79.4234,0.6803,0.58558,1.27068,0.99748,1,0.995,0.85514,0.65062,0.3857,1.39557,0.001142,0.001142,0.001142
132,79.976,0.59201,0.48462,1.19069,0.99748,1,0.995,0.85514,0.65062,0.3857,1.39557,0.0011354,0.0011354,0.0011354
133,80.5319,0.60584,0.48764,1.22359,0.99748,1,0.995,0.87534,0.61768,0.39108,1.28557,0.0011288,0.0011288,0.0011288
134,81.0755,0.55251,0.52686,1.26182,0.99748,1,0.995,0.87534,0.61768,0.39108,1.28557,0.0011222,0.0011222,0.0011222
135,81.6256,0.62745,0.52671,1.33795,0.99747,1,0.995,0.8546,0.64153,0.3927,1.25087,0.0011156,0.0011156,0.0011156
136,82.1619,0.539,0.50149,1.333,0.99747,1,0.995,0.8546,0.64153,0.3927,1.25087,0.001109,0.001109,0.001109
137,82.729,0.60312,0.57375,1.30924,0.99725,1,0.995,0.84781,0.69792,0.38744,1.27291,0.0011024,0.0011024,0.0011024
138,83.2872,0.54293,0.49475,1.26174,0.99725,1,0.995,0.84781,0.69792,0.38744,1.27291,0.0010958,0.0010958,0.0010958
